mean_amp,std_amp,variance_amp,max_amp,min_amp,range_amp,rms_amp,label_name,label_id
19.612598199894286,7.869117898067709,61.923016493689566,32.60663158380158,2.433521026581924,30.173110557219655,21.127191375065095,Empty,0
18.517912754408755,10.172853540332811,103.48694915306183,35.64556714629245,3.0214983674153277,32.624068778877124,21.119525649677783,Empty,0
16.513802971871947,12.16611957985271,148.01446563127547,35.956318394447855,2.6666666666666665,33.28965172778119,20.498710567055124,Empty,0
19.642421356598888,15.428697260231568,238.04469914787705,49.16299421312742,1.0,48.16299421312742,24.96053422006902,Standing,1
17.98229711832123,13.016037676426107,169.41723679414395,43.578431514536575,1.2071067811865477,42.37132473335003,22.18516619198265,Standing,1
17.123869036936238,13.26831743940071,176.048247672705,42.6768290327769,1.2761423749153968,41.400686657861506,21.648396242058304,Standing,1
16.185979047880544,13.72835326241447,188.46768329764603,41.35471574362949,0.9428090415820636,40.411906702047425,21.208197412577345,Standing,1
16.253076208274575,15.432963032854154,238.17634797344292,45.524784579522816,0.8047378541243649,44.720046725398454,22.39413364406883,Standing,1
16.81603450030254,15.296324824026899,233.97755312214153,45.25005679384015,1.0,44.25005679384015,22.714087999112387,Standing,1
16.785663404914807,14.209410431201086,201.9073448023262,43.82993197493346,1.3333333333333333,42.49659864160012,21.976177721119296,Standing,1
18.384136199093945,13.259663335463676,175.8186717698397,44.361676145993954,1.3333333333333333,43.02834281266062,22.65334121416229,Standing,1
16.70718083376819,10.795729005807788,116.5477647668396,37.99222479079403,1.1380711874576983,36.854153603336336,19.881293384022857,Standing,1
14.724518052052229,8.794067691862521,77.33562656906022,31.57154620232605,1.2761423749153968,30.295403827410652,17.142747378089965,Standing,1
11.286146392022667,6.4152691755701134,41.15567859502004,23.68979691569078,1.4120226591665963,22.277774256524186,12.976415242703023,Standing,1
14.146938586643298,7.049602429328661,49.69689441159656,27.09140518657202,2.2708530666804214,24.820552119891598,15.80054297754055,Standing,1
22.34972190052212,6.481465791750943,42.00939880963768,34.92849839314596,1.0,33.92849839314596,23.267381131854577,Walking,2
19.850757141917484,6.478264644426657,41.967912803228444,34.75332625937462,2.121320343559643,32.63200591581497,20.877551949377203,Walking,2
20.819439269498716,5.436924908597628,29.56015246172932,30.917226677536306,2.414213562373096,28.50301311516321,21.51522138214065,Walking,2
21.680422163126554,5.928428339960971,35.146262582052394,34.27335842974512,2.1380711874576988,32.135287242287426,22.473601758794004,Walking,2
23.273888188697857,6.089039321150131,37.076399854512445,33.97100116511394,2.4120226591665967,31.558978505947344,24.054506007417864,Walking,2
22.462417718453136,7.051158392002671,49.7188346691097,36.22194681622357,1.8834271799576283,34.33851963626594,23.539400151644234,Walking,2
21.06680377655478,6.269335684306571,39.30456992251975,32.536216646687905,2.1573786516665265,30.378837995021378,21.976712808704956,Walking,2
19.865271178628326,6.489881433858046,42.11856102553537,29.375953771990726,1.0,28.375953771990726,20.89494511092172,Walking,2
21.499127540147434,6.086658137858109,37.04740728715434,30.9860755503061,1.7994485458893898,29.18662700441671,22.341194746662396,Walking,2
23.046203555843906,6.837881722081654,46.75662644517837,33.65415479067091,1.74535599249993,31.908798798170977,24.0357838861411,Walking,2
23.61372171568089,6.5022800232147135,42.279645500297136,33.512728403827985,3.0786893258332637,30.434039077994722,24.489550847765244,Walking,2
23.796556621718402,6.502722170994745,42.285395633146614,33.51267137518696,2.8834271799576285,30.629244195229333,24.666010709570955,Walking,2
19.919242199305987,5.135011893266729,26.368347143990754,27.39690249958201,2.74535599249993,24.651546507082077,20.568212916222684,Walking,2
20.06129829550259,4.953393220154831,24.53610439347585,29.77085746632818,2.35483170074866,27.41602576557952,20.661681772766855,Walking,2
18.38218256416048,5.913208464500352,34.96603434463861,29.53430628309701,2.35483170074866,27.179474582348348,19.3066598684259,Walking,2
