label,mean_diff,max_diff,var_diff
1,2.1611197,5.4457912,1.9509339
1,2.0306509,4.016861,1.3150505
1,1.6689463,3.660942,0.9685021
1,0.76111925,1.6334629,0.17980672
1,1.3027483,3.5281677,0.61120784
1,1.1932414,3.5281677,0.49482828
1,1.3109444,3.5281677,0.638279
1,1.1559079,2.547121,0.5035942
1,1.3298621,2.8499832,0.6127489
1,1.1440196,2.1506977,0.30914417
1,1.0779716,2.1855793,0.44485572
1,0.69928294,1.8997879,0.2030764
1,0.92549187,1.8741875,0.31676644
1,0.7159223,1.5321712,0.16306154
1,0.91159254,2.5988789,0.37004262
1,1.7715652,4.2829113,1.3604676
1,1.9490446,4.686468,1.6084026
1,1.5349491,3.1182537,0.72164714
1,0.8164187,1.8997879,0.18333584
1,0.7020838,1.8997879,0.16635442
1,0.7412724,1.96558,0.40665582
1,0.82900274,2.1701584,0.3725864
1,0.7405388,1.9504738,0.26295862
1,0.8474611,2.0756664,0.3029848
1,0.58003545,1.8997879,0.11436294
1,0.75141245,1.8997879,0.17817336
1,1.0069623,2.0461636,0.3814056
1,1.1549438,2.8241444,0.504775
1,1.1161482,3.2366772,0.72514856
1,1.1858989,3.5120144,0.8880106
1,0.89129996,2.1070957,0.31988958
1,0.75370497,2.1483536,0.32727382
1,0.8349786,3.5281677,0.35252565
1,1.0500829,3.5281677,0.4085062
1,1.0161315,2.1474934,0.2762962
1,1.5552273,3.1756058,0.8932276
1,2.2206254,3.826353,0.97291225
1,1.7131851,3.5797615,1.1089895
1,1.1154696,2.473055,0.5622787
1,0.93816376,2.0016499,0.358192
1,0.69558936,1.8997879,0.25284794
1,1.0047251,2.6075554,0.62077767
1,1.3963583,3.125784,0.71991616
1,1.4682757,3.425478,1.022341
1,1.039926,2.5275784,0.62527704
1,0.91338176,2.313982,0.5150543
1,1.185945,2.466402,0.5722131
1,1.1622205,2.2289257,0.3745625
1,1.0537996,2.6556702,0.61720645
1,1.3388201,3.0619698,0.71646935
1,1.2939471,3.2669811,0.91125864
1,1.3530238,3.4149132,0.8982008
1,0.9558591,2.6092758,0.49598473
1,0.84211195,2.3487282,0.43116117
1,1.1819861,2.5196018,0.49513766
1,0.79004395,2.2798023,0.4969325
1,0.8177383,1.9399567,0.3031111
1,0.9725767,2.1162643,0.31110632
1,1.0234045,1.9922066,0.32037324
1,1.2597448,2.7165356,0.71274143
2,0.34722742,1.2267056,0.08680353
2,0.7802877,2.1711807,0.17675158
2,0.49188748,2.1711807,0.13925724
2,0.4386062,2.1711807,0.1413043
2,0.27549782,0.72972107,0.043972965
2,1.3079628,1.8679867,0.13389604
2,1.9132127,2.5744686,0.1427254
2,1.6636614,2.3955956,0.18106538
2,1.2380852,2.1711807,0.29230025
2,0.5345002,1.1631222,0.09769538
2,0.54384595,1.1105518,0.09405435
2,0.67410153,1.6865692,0.16816622
2,1.011889,2.7705479,0.60288227
2,1.0354713,2.6141987,0.48250827
2,0.97225755,4.8851547,0.72398466
2,0.29518694,4.8851547,0.4406462
2,0.38223013,2.1711807,0.094327256
2,0.914258,1.8780422,0.18555793
2,0.35128173,1.0603695,0.045488983
2,0.384757,0.9690285,0.039206695
2,0.4366908,2.1711807,0.12446548
2,1.0991067,2.1711807,0.35046548
2,1.84957,3.3578396,0.6200857
2,1.4189281,3.3143692,1.0117216
2,1.6316346,3.716486,1.100217
2,2.1716864,5.353382,2.5687606
2,3.0111778,6.7675867,4.240569
2,2.2414064,4.7007656,1.8334212
2,0.8123373,2.1711807,0.15148515
2,0.815368,2.0580845,0.35263833
2,0.85305244,1.9157486,0.24170771
2,0.54464847,1.3544769,0.13915619
2,1.1435448,2.0445118,0.28419837
2,0.98451865,1.9276867,0.2417827
2,1.3052434,2.3580818,0.32585746
2,1.673658,2.2103481,0.14264461
2,0.6270205,2.1711807,0.09256913
2,0.9651618,2.1711807,0.098510206
2,1.023685,2.1364346,0.21480463
2,0.41970015,1.3914757,0.07719276
2,0.6962936,2.1711807,0.111112654
2,0.6891354,2.1711807,0.09092843
2,0.7940947,2.1711807,0.094704546
2,0.80259174,1.3101006,0.061140217
2,0.23636994,1.019247,0.043294903
2,0.786861,1.7902699,0.16867845
2,1.2987465,2.1711807,0.12891516
2,0.9976112,4.8851547,0.4366736
2,1.4294419,7.5991287,0.99201113
2,0.8256336,7.5991287,0.9831861
2,1.2559522,7.5991287,0.844521
2,0.7151632,7.5991287,1.042345
2,0.7432872,4.8851547,0.509742
2,0.6406551,2.1711807,0.22209543
2,2.9859319,20.460701,9.537826
2,2.9977856,20.460701,9.099388
2,3.074999,20.460701,9.285291
2,0.7884412,2.1711807,0.22433084
2,0.48206913,2.1711807,0.13871065
2,0.5105328,4.8851547,0.42689598
2,0.8187465,2.1711807,0.105651625
2,1.8110926,2.8961964,0.20631212
2,2.2361321,3.0104465,0.2965113
2,1.7141597,2.2178078,0.17541
2,1.1588379,2.2678776,0.25546873
2,0.63084006,1.273777,0.1303155
2,0.56417257,1.2316837,0.13077584
2,0.6180697,2.1711807,0.073084414
2,0.3078372,4.8851547,0.43922597
2,0.37648398,4.8851547,0.43873227
2,0.4171523,2.1711807,0.084590115
2,0.5582117,0.97709084,0.039326902
2,0.89506835,1.8178482,0.17547403
2,0.44199926,2.1711807,0.10233136
2,1.1736627,2.1711807,0.13545787
2,1.7192842,2.4701233,0.11894301
2,1.0083058,2.0244942,0.19606228
